Number,Platform,Date,Passed Day,Meta Score,User Score
1,Nintendo 64,1998-11-23,8801,99.0,9.1
2,PlayStation,2000-09-20,8134,98.0,7.4
3,PlayStation 3,2008-04-29,5356,98.0,7.8
4,Dreamcast,1999-09-08,8512,98.0,8.4
5,Xbox 360,2008-04-29,5356,98.0,8.0
6,Wii,2007-11-12,5525,97.0,9.1
7,Wii,2010-05-23,4602,97.0,9.1
8,Xbox One,2018-10-26,1524,97.0,8.2
9,Xbox One,2014-11-18,2962,97.0,7.9
10,PlayStation 3,2013-09-17,3389,97.0,8.3
11,PC,2021-03-30,638,97.0,8.3
12,Xbox 360,2013-09-17,3389,97.0,8.3
13,Dreamcast,2000-11-06,8087,97.0,6.2
14,Switch,2017-03-03,2126,97.0,8.7
15,PlayStation 2,2001-10-28,7731,97.0,7.5
16,Nintendo 64,2000-05-22,8255,97.0,8.8
17,PlayStation 4,2018-10-26,1524,97.0,8.6
18,PlayStation 4,2014-11-18,2962,97.0,8.3
19,GameCube,2002-11-17,7346,97.0,8.9
20,PlayStation 2,2001-10-22,7737,97.0,8.4
21,Switch,2017-10-27,1888,97.0,8.9
22,Xbox,2001-11-14,7714,97.0,8.7
23,Dreamcast,2000-09-07,8147,97.0,6.3
24,PC,2004-11-16,6616,96.0,9.2
25,PC,2015-04-13,2816,96.0,7.8
26,Wii U,2017-03-03,2126,96.0,8.3
27,Xbox 360,2007-08-21,5608,96.0,9.0
28,Nintendo 64,1997-08-25,9256,96.0,9.0
29,PlayStation 3,2009-10-13,4824,96.0,8.8
30,GameCube,2005-01-11,6560,96.0,9.2
31,Xbox 360,2007-10-10,5558,96.0,8.9
32,PC,2007-10-10,5558,96.0,9.1
33,PlayStation 3,2011-10-18,4089,96.0,8.8
34,Switch,2022-06-28,183,96.0,8.0
35,PlayStation,1998-04-29,9009,96.0,9.1
36,Xbox Series X,2022-02-25,306,96.0,7.7
37,Xbox 360,2010-01-26,4719,96.0,8.9
38,Switch,2021-04-09,628,96.0,8.6
39,GameCube,2006-12-11,5861,96.0,8.9
40,PlayStation 5,2022-02-25,306,96.0,7.7
41,Xbox 360,2011-11-11,4065,96.0,8.6
42,PC,1998-11-19,8805,96.0,9.1
43,PlayStation 2,2005-10-25,6273,96.0,9.3
44,GameCube,2003-03-24,7219,96.0,9.0
45,PlayStation,1998-04-30,9008,96.0,8.6
46,PC,2007-08-21,5608,96.0,8.6
47,PlayStation 2,2001-11-12,7716,96.0,8.8
48,Xbox,2003-10-31,6998,96.0,8.1
49,PC,2000-09-24,8130,95.0,9.1
50,PlayStation 2,2004-10-26,6637,95.0,9.1
51,PlayStation 2,2002-10-27,7367,95.0,8.8
52,PlayStation 3,2008-10-27,5175,95.0,6.8
53,GameCube,2003-11-17,6981,95.0,8.9
54,PlayStation 3,2010-05-18,4607,95.0,8.9
55,PlayStation 2,2001-07-09,7842,95.0,8.4
56,Xbox,2004-11-09,6623,95.0,8.7
57,PC,2022-10-21,68,95.0,8.5
58,Game Boy Advance,2002-12-03,7330,95.0,9.0
59,Nintendo 64,2000-10-25,8099,95.0,9.1
60,PlayStation 3,2013-06-14,3484,95.0,9.2
61,Wii,2006-11-19,5883,95.0,9.0
62,PlayStation 2,2002-08-12,7443,95.0,7.6
63,Game Boy Advance,2001-05-30,7882,95.0,6.8
64,PlayStation 4,2020-03-31,1002,95.0,8.5
65,PlayStation 4,2014-07-29,3074,95.0,9.2
66,PC,2011-04-18,4272,95.0,9.1
67,Xbox 360,2010-05-18,4607,95.0,9.0
68,Xbox 360,2011-04-19,4271,95.0,8.8
69,Xbox One,2015-09-01,2675,95.0,7.6
70,PlayStation 3,2011-04-19,4271,95.0,8.7
71,Switch,2021-10-08,446,94.0,7.9
72,Wii,2008-10-13,5189,94.0,8.7
73,PlayStation 5,2022-12-14,14,94.0,7.6
74,PC,2011-11-10,4066,94.0,8.4
75,PlayStation 3,2013-03-26,3564,94.0,8.5
76,PlayStation,2000-11-13,8080,94.0,9.0
77,PlayStation 3,2009-11-10,4796,94.0,6.7
78,PlayStation 4,2018-04-20,1713,94.0,9.1
79,PlayStation 2,2002-10-23,7371,94.0,8.3
80,PlayStation 2,2001-10-16,7743,94.0,8.6
81,PlayStation 3,2007-11-05,5532,94.0,8.4
82,PlayStation 2,2001-08-19,7801,94.0,7.3
83,Xbox 360,2011-10-18,4089,94.0,8.8
84,Xbox Series X,2022-10-21,68,94.0,8.3
85,PC,2010-01-26,4719,94.0,8.9
86,3DS,2011-06-19,4210,94.0,9.0
87,PlayStation,2000-08-15,8170,94.0,8.8
88,Xbox One,2018-01-26,1797,94.0,7.7
89,PlayStation 3,2008-10-21,5181,94.0,9.0
90,PlayStation 3,2011-01-17,4363,94.0,8.7
91,PC,2003-05-12,7170,94.0,8.7
92,PlayStation 2,2003-08-12,7078,94.0,8.2
93,Xbox 360,2006-11-07,5895,94.0,8.4
94,Xbox 360,2006-03-20,6127,94.0,8.8
95,Switch,2022-10-21,68,94.0,8.3
96,PC,1996-02-29,9799,94.0,8.8
97,PC,1996-06-22,9685,94.0,8.7
98,Xbox 360,2007-11-05,5532,94.0,8.5
99,PC,2013-03-25,3565,94.0,8.6
100,Xbox 360,2007-09-25,5573,94.0,8.2
101,Xbox,2005-09-20,6308,94.0,8.7
102,PC,2006-03-20,6127,94.0,8.3
103,PC,2022-02-25,306,94.0,6.9
104,PlayStation 3,2009-02-17,5062,94.0,7.4
105,Game Boy Advance,2003-10-21,7008,94.0,8.9
106,Dreamcast,2000-10-30,8094,94.0,8.3
107,PlayStation,1998-10-21,8834,94.0,8.3
108,PC,1998-10-14,8841,94.0,9.0
109,Xbox,2005-03-28,6484,94.0,9.1
110,Dreamcast,2000-02-29,8338,94.0,9.4
111,Xbox,2004-09-07,6686,94.0,7.7
112,PC,1996-12-31,9493,94.0,8.6
113,PlayStation 5,2022-11-09,49,94.0,7.9
114,PlayStation 2,2006-03-14,6133,94.0,8.0
115,Xbox 360,2009-11-10,4796,94.0,6.6
116,PlayStation 3,2008-06-12,5312,94.0,8.8
117,PlayStation 2,2003-07-16,7105,94.0,8.3
118,PlayStation 2,2005-03-22,6490,94.0,8.9
119,Xbox,2003-07-17,7104,94.0,9.1
120,PC,2005-10-25,6273,94.0,8.2
121,GameCube,2003-08-12,7078,94.0,7.0
122,PlayStation 2,2002-03-17,7591,94.0,8.1
123,Nintendo 64,1996-09-26,9589,94.0,9.1
124,PC,2015-05-18,2781,93.0,9.1
125,PC,2022-12-06,22,93.0,8.5
126,PlayStation 2,2004-09-07,6686,93.0,9.0
127,Wii,2008-03-09,5407,93.0,8.8
128,PC,2006-09-13,5950,93.0,8.7
129,PlayStation,1999-11-30,8429,93.0,9.0
130,PlayStation 4,2020-06-19,922,93.0,5.7
131,Xbox Series X,2021-08-13,502,93.0,8.6
132,Xbox,2004-03-23,6854,93.0,8.6
133,DS,2009-03-17,5034,93.0,8.3
134,Xbox 360,2010-11-17,4424,93.0,7.6
135,PlayStation,1999-04-30,8643,93.0,8.5
136,Switch,2020-09-17,832,93.0,9.0
137,Xbox,2002-03-04,7604,93.0,7.2
138,PC,2020-03-23,1010,93.0,9.2
139,Switch,2019-09-04,1211,93.0,8.4
140,PC,2017-09-14,1931,93.0,8.8
141,PC,2004-03-16,6861,93.0,8.8
142,Xbox 360,2013-03-26,3564,93.0,8.5
143,Switch,2020-09-17,832,93.0,8.7
144,Xbox 360,2008-08-06,5257,93.0,8.5
145,PlayStation 2,2007-03-13,5769,93.0,9.0
146,Wii U,2013-11-22,3323,93.0,8.9
147,PC,2010-07-27,4537,93.0,8.3
148,PlayStation 2,2000-10-30,8094,93.0,8.1
149,Xbox 360,2009-02-17,5062,93.0,7.3
150,PC,2011-11-18,4058,93.0,8.1
151,Xbox Series X,2022-04-27,245,93.0,8.6
152,PlayStation 5,2021-08-13,502,93.0,8.6
153,Switch,2018-09-18,1562,93.0,8.2
154,PlayStation Vita,2012-11-20,3690,93.0,8.6
155,PlayStation 4,2017-04-04,2094,93.0,8.7
